id,gender,age,date,course_name,before_arousal,before_subjective_preparation,before_anger,before_hate,before_contempt,before_disgust,before_fear,before_disappointment,before_shame,before_regret,before_guilt,before_sadness,before_compassion,before_relief,before_admiration,before_love,before_contentment,before_pleasure,before_joy,before_pride,before_amusement,before_interest,before_other_emotion,after_arousal,after_subjective_performance,after_anger,after_hate,after_contempt,after_disgust,after_fear,after_disappointment,after_shame,after_regret,after_guilt,after_sadness,after_compassion,after_relief,after_admiration,after_love,after_contentment,after_pleasure,after_joy,after_pride,after_amusement,after_interest,after_other_emotion,permission,data_recorder,course_code,credit,semester,requirement,course_level,course_prequisit,lecturer_name,lecturer_email,course_language,grade
248,female,19,########,Statisztika,5,3,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,4,5,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,NA
126,female,20,########,Statisztika,5,2,NA,NA,NA,NA,5,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,2,3,1,3,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,4,4,2,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
163,male,20,########,Statisztika,2,1,NA,NA,NA,NA,1,2,4,4,5,4,NA,3,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,NA,NA,NA,NA,2,NA,4,2,3,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,3
89,female,19,########,Statisztika,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,NA,NA,NA,NA,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,3
240,female,20,########,Statisztika,4,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,3,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
441,female,44,########,Statisztika,3,1,3,1,1,1,4,4,4,4,4,4,3,3,1,1,2,1,2,1,1,3,NA,2,1,3,1,1,1,1,3,3,4,3,4,1,2,1,1,1,1,1,1,1,1,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,3
268,female,19,########,Statisztika,4,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
41,female,19,########,Statisztika,4,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
32,male,19,########,Statisztika,3,2,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,túl akarok lenni rajta,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,1,NA,2,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
390,male,27,########,Statisztika,4,4,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,2,NA,NA,3,3,NA,NA,3,4,izgalom/várakozás,4,2,NA,NA,NA,NA,2,4,2,1,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
161,male,21,########,Statisztika,3,3,1,1,1,1,2,2,1,1,1,2,1,3,2,2,4,3,3,4,3,3,NA,2,1,3,1,1,1,1,2,4,1,1,3,3,2,1,1,1,1,1,1,1,1,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
266,female,21,########,Statisztika,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,NA,2,NA,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,3
357,female,19,########,Statisztika,3,4,1,1,1,1,2,1,1,1,1,1,1,2,4,4,3,3,3,3,3,4,NA,3,1,2,1,1,1,1,2,2,2,1,3,2,4,3,3,3,1,3,1,1,4,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
288,female,19,########,Statisztika,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,2,3,NA,5,1,3,NA,NA,NA,NA,3,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,3
171,female,19,########,Statisztika,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,2,2,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
170,female,30,########,Statisztika,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,4,4,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
130,male,20,########,Statisztika,5,2,NA,NA,NA,NA,5,NA,NA,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,izgalom,4,1,NA,NA,NA,2,NA,5,5,5,4,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
8,female,20,########,Statisztika,5,3,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,5,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
413,female,19,########,Statisztika,4,3,NA,NA,NA,NA,4,NA,NA,2,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,4,NA,4,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
333,female,23,########,Statisztika,5,3,NA,NA,NA,NA,4,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,5,5,5,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
209,female,18,########,Statisztika,4,3,4,NA,NA,NA,5,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,4,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,5,NA,NA,3,4,2,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
417,male,19,########,Statisztika,4,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,1,NA,4,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,3,1,4,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
346,female,20,########,Statisztika,5,2,1,NA,NA,NA,5,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,4,1,1,NA,NA,NA,2,5,3,4,4,4,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
348,female,19,########,Statisztika,5,4,1,NA,NA,NA,4,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,NA,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,5
410,female,19,########,Statisztika,5,3,NA,3,4,5,5,2,4,3,2,3,2,1,1,1,2,1,1,1,1,1,NA,5,3,1,1,1,1,1,2,1,1,1,1,3,5,1,1,4,2,4,2,3,3,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
246,female,19,########,Statisztika,4,2,NA,NA,NA,NA,5,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,4,NA,NA,NA,NA,1,Sára Posta,PSZB17-110; SSZB13-126,5,2018/19/1,Kollokvium (5),BA,NA,Nagy Tamás,nagy.tamas@ppk.elte.hu,Hungarian,4
388,male,22,########,Személyiségpszichológia 1,4,4,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,4,NA,3,4,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,5
9,male,21,########,Személyiségpszichológia 1,3,4,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,3,NA,2,5,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,3,3,4,3,5,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,1
375,male,21,########,Személyiségpszichológia 1,2,3,NA,NA,NA,NA,1,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,IZAGALOM,1,1,NA,NA,NA,NA,NA,NA,3,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,elfogadás,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,3
198,female,20,########,Személyiségpszichológia 1,5,2,4,1,1,1,5,4,1,3,2,3,1,3,2,5,3,3,3,3,3,5,NA,5,1,5,4,1,2,3,5,1,4,4,4,4,1,1,3,2,1,3,1,1,2,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,1
43,female,23,########,Személyiségpszichológia 1,4,2,1,1,1,1,3,1,2,3,4,2,1,1,1,1,1,1,2,1,2,3,NA,2,1,1,1,1,1,1,2,3,5,5,3,1,1,1,1,1,1,1,1,1,2,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,NA
192,female,21,########,Személyiségpszichológia 1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,2
421,male,26,########,Személyiségpszichológia 1,3,3,1,1,1,1,4,4,1,3,3,3,1,4,1,3,3,3,1,1,2,4,NA,4,3,1,1,1,1,1,1,1,1,1,2,1,5,1,2,4,3,4,3,4,5,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,4
214,female,20,########,Személyiségpszichológia 1,3,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,3,4,3,NA,2,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,3,NA,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,5
72,male,20,########,Személyiségpszichológia 1,4,4,NA,NA,NA,NA,2,NA,NA,3,4,NA,NA,1,NA,NA,2,NA,NA,NA,NA,4,NA,5,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,4,NA,4,NA,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,4
189,female,20,########,Személyiségpszichológia 1,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,IZAGALOM,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,4
108,female,21,########,Személyiségpszichológia 1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,IZAGALOM,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,4,NA,NA,1,Thomas,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,4
432,male,24,########,Személyiségpszichológia 1,2,3,NA,NA,NA,NA,4,NA,5,5,5,NA,3,NA,NA,NA,2,NA,NA,NA,NA,4,NA,5,4,4,NA,NA,NA,NA,4,5,5,5,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,1
218,female,21,########,Személyiségpszichológia 1,4,3,NA,NA,NA,NA,4,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,2,NA,2,NA,4,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,1
231,female,23,########,Személyiségpszichológia 1,4,4,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,2,NA,NA,4,NA,2,4,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,3,NA,NA,2,1,1,NA,NA,4,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,4
17,female,20,########,Személyiségpszichológia 1,3,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,3,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,5
312,female,19,########,Személyiségpszichológia 1,5,5,2,NA,NA,NA,5,NA,NA,NA,2,NA,NA,1,3,4,1,3,4,3,4,4,NA,3,5,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,5,3,5,5,5,5,5,5,2,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,5
15,female,20,########,Személyiségpszichológia 1,4,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,3
99,female,20,########,Személyiségpszichológia 1,3,3,NA,NA,NA,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,izgalom,1,2,1,NA,NA,NA,1,2,4,1,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,1
398,male,21,########,Személyiségpszichológia 1,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,4
373,male,20,########,Személyiségpszichológia 1,3,5,NA,NA,NA,NA,2,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,4,NA,5,4,1,NA,1,Sára Posta,PSZB17-116; PSZB09-123,6,2018/19/1,Kollokvium (5),BA,NA,S. Nagy Zita,s.nagy.zita@ppk.elte.hu,Hungarian,5
249,male,20,########,A kutatásmódszertan alapjai,5,4,NA,NA,NA,1,3,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,2,2,NA,NA,NA,2,1,4,NA,2,3,3,NA,4,NA,NA,2,1,1,3,1,3,NA,1,Thomas,PSZB17-104; PSZB09-305,4,2018/19/1,Kollokvium (5),BA,NA,Magyaródi Tímea,magyarodi.timea@ppk.elte.hu,Hungarian,2
349,female,19,########,A kutatásmódszertan alapjai,5,4,NA,NA,NA,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,3,3,3,3,3,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-104; PSZB09-305,4,2018/19/1,Kollokvium (5),BA,NA,Magyaródi Tímea,magyarodi.timea@ppk.elte.hu,Hungarian,4
366,female,19,########,A kutatásmódszertan alapjai,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,2,2,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Thomas,PSZB17-104; PSZB09-305,4,2018/19/1,Kollokvium (5),BA,NA,Magyaródi Tímea,magyarodi.timea@ppk.elte.hu,Hungarian,2
110,female,18,########,A kutatásmódszertan alapjai,2,3,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,1,Thomas,PSZB17-104; PSZB09-305,4,2018/19/1,Kollokvium (5),BA,NA,Magyaródi Tímea,magyarodi.timea@ppk.elte.hu,Hungarian,5
